timestamp,corriente,tension,potencia
2024-04-30 15:39:47,4.65,220.94,1031.33
2024-04-30 15:39:48,4.65,220.94,1031.33
2024-04-30 15:39:49,4.66,220.94,1031.83
2024-04-30 15:39:50,4.65,220.94,1030.83
2024-04-30 15:39:51,4.66,220.94,1032.33
2024-04-30 15:39:52,4.65,220.94,1031.83
2024-04-30 15:39:53,4.65,220.94,1032.33
2024-04-30 15:39:54,4.66,220.94,1033.82
2024-04-30 15:39:55,4.66,220.94,1033.82
2024-04-30 15:39:56,4.66,220.94,1032.82
2024-04-30 15:39:57,4.66,220.94,1033.32
2024-04-30 15:39:58,4.66,220.94,1032.82
2024-04-30 15:39:59,4.65,220.94,1032.33
2024-04-30 15:40:00,4.66,220.94,1033.82
2024-04-30 15:40:01,4.66,220.94,1032.82
2024-04-30 15:40:02,4.66,220.94,1033.32
2024-04-30 15:40:03,4.65,220.94,1032.33
2024-04-30 15:40:04,4.65,220.94,1028.84
2024-04-30 15:40:05,4.66,220.94,1032.82
2024-04-30 15:40:06,4.66,220.94,1033.32
2024-04-30 15:40:07,4.66,220.94,1034.32
2024-04-30 15:40:08,4.66,220.94,1034.32
2024-04-30 15:40:09,4.66,220.94,1033.82
2024-04-30 15:40:10,4.66,220.94,1034.32
2024-04-30 15:40:11,4.67,220.94,1035.81
2024-04-30 15:40:12,4.66,220.94,1033.82
2024-04-30 15:40:13,4.66,220.94,1033.82
2024-04-30 15:40:14,4.66,220.94,1033.32
2024-04-30 15:40:15,4.66,220.94,1033.32
2024-04-30 15:40:16,4.66,220.94,1031.83
2024-04-30 15:40:17,4.65,220.94,1030.83
2024-04-30 15:40:18,4.65,220.94,1032.33
2024-04-30 15:40:19,4.65,220.94,1031.33
2024-04-30 15:40:20,4.66,220.94,1032.33
2024-04-30 15:40:21,4.65,220.94,1031.33
2024-04-30 15:40:22,4.65,220.94,1030.83
2024-04-30 15:40:23,4.65,220.94,1031.33
2024-04-30 15:40:24,4.65,220.94,1031.33
2024-04-30 15:40:25,4.65,220.94,1032.82
2024-04-30 15:40:26,4.66,220.94,1033.32
2024-04-30 15:40:27,4.65,220.94,1031.83
2024-04-30 15:40:28,4.66,220.94,1032.33
2024-04-30 15:40:29,4.65,220.94,1031.83
2024-04-30 15:40:30,4.65,220.94,1029.83
2024-04-30 15:40:31,4.65,220.94,1030.33
2024-04-30 15:40:32,4.65,220.94,1029.34
2024-04-30 15:40:33,4.65,220.94,1029.34
2024-04-30 15:40:34,4.65,220.94,1029.34
2024-04-30 15:40:35,4.65,220.94,1029.83
2024-04-30 15:40:36,4.65,220.94,1029.34
2024-04-30 15:40:37,4.65,220.94,1027.34
2024-04-30 15:40:38,4.65,220.94,1029.34
2024-04-30 15:40:39,4.65,220.94,1028.34
2024-04-30 15:40:40,4.65,220.94,1029.34
2024-04-30 15:40:41,4.65,220.94,1030.33
2024-04-30 15:40:42,4.65,220.94,1028.34
2024-04-30 15:40:43,4.65,220.94,1029.34
2024-04-30 15:40:44,4.65,220.94,1029.83
2024-04-30 15:40:45,4.65,220.94,1030.33
2024-04-30 15:40:46,4.65,220.94,1029.83
2024-04-30 15:40:47,4.65,220.94,1030.83
2024-04-30 15:40:48,4.65,220.94,1030.33
2024-04-30 15:40:49,4.65,220.94,1030.83
2024-04-30 15:40:50,4.66,220.94,1032.82
2024-04-30 15:40:51,4.66,220.94,1032.82
2024-04-30 15:40:52,4.66,220.94,1032.33
2024-04-30 15:40:53,4.66,220.94,1032.33
2024-04-30 15:40:54,4.66,220.94,1033.32
2024-04-30 15:40:55,4.66,220.94,1032.82
2024-04-30 15:40:56,4.66,220.94,1032.82
2024-04-30 15:40:57,4.66,220.94,1032.82
2024-04-30 15:40:58,4.66,220.94,1033.32
2024-04-30 15:40:59,4.66,220.94,1033.82
2024-04-30 15:41:00,4.66,220.94,1034.32
2024-04-30 15:41:01,4.66,220.94,1033.82
2024-04-30 15:41:02,4.66,220.94,1033.82
2024-04-30 15:41:03,4.66,220.94,1033.32
2024-04-30 15:41:04,4.66,220.94,1032.82
2024-04-30 15:41:05,4.66,220.94,1032.82
2024-04-30 15:41:06,4.66,220.94,1034.32
2024-04-30 15:41:07,4.66,220.94,1033.82
2024-04-30 15:41:08,4.66,220.94,1033.82
2024-04-30 15:41:09,4.66,220.94,1032.82
2024-04-30 15:41:10,4.66,220.94,1033.32
2024-04-30 15:41:11,4.66,220.94,1032.82
2024-04-30 15:41:12,4.66,220.94,1033.82
2024-04-30 15:41:13,4.66,220.94,1033.32
2024-04-30 15:41:14,4.66,220.94,1033.32
2024-04-30 15:41:15,4.66,220.94,1034.82
2024-04-30 15:41:16,4.66,220.94,1033.32
2024-04-30 15:41:17,4.66,220.94,1033.32
2024-04-30 15:41:18,4.66,220.94,1033.82
2024-04-30 15:41:19,4.65,220.94,1032.33
2024-04-30 15:41:20,4.66,220.94,1033.32
2024-04-30 15:41:21,4.66,220.94,1032.82
2024-04-30 15:41:22,4.65,220.94,1032.33
2024-04-30 15:41:23,4.66,220.94,1033.82
2024-04-30 15:41:25,4.66,220.94,1032.82
2024-04-30 15:41:26,4.65,220.94,1032.33
2024-04-30 15:41:27,4.66,220.94,1033.32
2024-04-30 15:41:28,4.66,220.94,1032.33
2024-04-30 15:41:29,4.66,220.94,1032.82
2024-04-30 15:41:30,4.65,220.94,1031.83
2024-04-30 15:41:31,4.65,220.94,1032.33
2024-04-30 15:41:32,4.66,220.94,1032.82
2024-04-30 15:41:33,4.66,220.94,1032.82
2024-04-30 15:41:34,4.66,220.94,1033.82
2024-04-30 15:41:35,4.66,220.94,1033.82
2024-04-30 15:41:36,4.65,220.94,1032.82
2024-04-30 15:41:37,4.66,220.94,1033.82
2024-04-30 15:41:38,4.66,220.94,1034.82
2024-04-30 15:41:39,4.66,220.94,1035.31
2024-04-30 15:41:40,4.66,220.94,1035.31
2024-04-30 15:41:41,4.66,220.94,1036.31
2024-04-30 15:41:42,4.66,220.94,1035.31
2024-04-30 15:41:43,4.66,220.94,1035.31
2024-04-30 15:41:44,4.66,220.94,1034.82
2024-04-30 15:41:45,4.66,220.94,1035.81
2024-04-30 15:41:46,4.66,220.94,1034.82
2024-04-30 15:41:47,4.66,220.94,1033.82
2024-04-30 15:41:48,4.66,220.94,1034.32
2024-04-30 15:41:49,4.65,220.94,1032.82
2024-04-30 15:41:50,4.66,220.94,1034.82
2024-04-30 15:41:51,4.66,220.94,1034.32
2024-04-30 15:41:52,4.66,220.94,1033.32
2024-04-30 15:41:53,4.66,220.94,1032.82
2024-04-30 15:41:54,4.65,220.94,1032.33
2024-04-30 15:41:55,4.66,220.94,1033.32
2024-04-30 15:41:56,4.66,220.94,1032.82
2024-04-30 15:41:57,4.65,220.94,1032.82
2024-04-30 15:41:58,4.65,220.94,1032.33
2024-04-30 15:41:59,4.66,220.94,1035.31
2024-04-30 15:42:00,4.65,220.94,1033.82
2024-04-30 15:42:01,4.65,220.94,1033.32
2024-04-30 15:42:02,4.65,220.94,1032.82
2024-04-30 15:42:03,4.65,220.94,1032.33
2024-04-30 15:42:04,4.65,220.94,1031.83
2024-04-30 15:42:05,4.65,220.94,1032.33
2024-04-30 15:42:06,4.65,220.94,1032.33
2024-04-30 15:42:07,4.65,220.94,1031.33
2024-04-30 15:42:08,4.64,220.94,1030.83
2024-04-30 15:42:09,4.65,220.94,1032.33
2024-04-30 15:42:10,4.65,220.94,1032.33
2024-04-30 15:42:11,4.66,220.94,1034.32
2024-04-30 15:42:12,4.65,220.94,1032.33
2024-04-30 15:42:13,4.65,220.94,1034.32
2024-04-30 15:42:14,4.65,220.94,1033.82
2024-04-30 15:42:15,4.65,220.94,1034.32
2024-04-30 15:42:16,4.66,220.94,1035.81
2024-04-30 15:42:17,4.65,220.94,1034.32
2024-04-30 15:42:18,4.65,220.94,1034.82
2024-04-30 15:42:19,4.66,220.94,1035.81
2024-04-30 15:42:20,4.66,220.94,1035.31
2024-04-30 15:42:21,4.66,220.94,1034.82
2024-04-30 15:42:22,4.65,220.94,1032.33
2024-04-30 15:42:23,4.65,220.94,1032.82
2024-04-30 15:42:24,4.65,220.94,1033.32
2024-04-30 15:42:25,4.65,220.94,1031.83
2024-04-30 15:42:26,4.65,220.94,1030.33
2024-04-30 15:42:27,4.65,220.94,1031.33
2024-04-30 15:42:28,4.65,220.94,1031.33
2024-04-30 15:42:29,4.65,220.94,1031.33
2024-04-30 15:42:30,4.65,220.94,1031.33
2024-04-30 15:42:31,4.65,220.94,1030.33
2024-04-30 15:42:32,4.65,220.94,1031.33
2024-04-30 15:42:33,4.65,220.94,1030.83
2024-04-30 15:42:34,4.65,220.94,1030.83
2024-04-30 15:42:35,4.65,220.94,1031.33
2024-04-30 15:42:36,4.65,220.94,1031.33
2024-04-30 15:42:37,4.65,220.94,1031.83
2024-04-30 15:42:38,4.65,220.94,1031.83
2024-04-30 15:42:39,4.65,220.94,1031.33
2024-04-30 15:42:40,4.65,220.94,1031.33
2024-04-30 15:42:41,4.65,220.94,1032.33
2024-04-30 15:42:42,4.65,220.94,1030.33
2024-04-30 15:42:43,4.65,220.94,1031.83
2024-04-30 15:42:44,4.65,220.94,1031.83
2024-04-30 15:42:45,4.65,220.94,1031.83
2024-04-30 15:42:46,4.65,220.94,1032.33
2024-04-30 15:42:47,4.65,220.94,1031.83
2024-04-30 15:42:48,4.65,220.94,1033.32
2024-04-30 15:42:49,4.65,220.94,1032.33
2024-04-30 15:42:50,4.65,220.94,1031.33
2024-04-30 15:42:51,4.65,220.94,1032.82
2024-04-30 15:42:52,4.65,220.94,1033.32
2024-04-30 15:42:53,4.65,220.94,1032.33
2024-04-30 15:42:54,4.65,220.94,1032.33
2024-04-30 15:42:55,4.65,220.94,1032.33
2024-04-30 15:42:56,4.65,220.94,1032.82
2024-04-30 15:42:57,4.66,220.94,1034.32
2024-04-30 15:42:58,4.66,220.94,1034.82
2024-04-30 15:42:59,4.65,220.94,1033.82
2024-04-30 15:43:00,4.65,220.94,1032.82
2024-04-30 15:43:01,4.65,220.94,1032.82
2024-04-30 15:43:02,4.65,220.94,1033.32
2024-04-30 15:43:03,4.65,220.94,1031.83
2024-04-30 15:43:04,4.65,220.94,1032.33
2024-04-30 15:43:05,4.65,220.94,1031.83
2024-04-30 15:43:06,4.65,220.94,1032.33
2024-04-30 15:43:07,4.65,220.94,1033.32
2024-04-30 15:43:08,4.65,220.94,1032.33
2024-04-30 15:43:09,4.65,220.94,1033.32
2024-04-30 15:43:10,4.65,220.94,1033.82
2024-04-30 15:43:11,4.65,220.94,1033.82
2024-04-30 15:43:12,4.65,220.94,1032.33
2024-04-30 15:43:13,4.66,220.94,1034.32
2024-04-30 15:43:14,4.66,220.94,1034.32
2024-04-30 15:43:15,4.65,220.94,1033.82
2024-04-30 15:43:16,4.65,220.94,1032.82
